x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3
437.03,0.9808,249.26,0.93437,3810.5,2.2307,22.743,0.57822,0.25869,0.98764,1544.5,1544.9
424.91,0.98819,197.67,0.84038,3201.3,3.8441,35.436,0.28432,0.14409,0.99136,164.96,164.93
704.33,0.9605,66.388,0.96363,2869.6,2.003,5.2994,0.12559,0.26733,0.99639,26.619,26.69
419.32,0.84841,336.65,0.83023,3468,1.5657,1.8256,0.45071,0.16498,0.98394,616.08,616.07
563.59,0.99513,209.57,0.88699,2441.1,3.0127,14.771,0.25298,0.092212,0.99377,113.13,112.97
138.8,0.86345,225.17,0.90173,3868.5,3.2065,32.049,0.13562,0.23246,0.97021,97.662,97.615
201.3,0.96256,141.28,0.82021,1636.9,2.0487,18.19,0.52635,0.11477,0.9827,89.375,89.544
753.12,0.93949,266.62,0.87363,3151,1.8729,33.969,0.16111,0.29668,0.99421,287.04,287.15
504.27,0.85389,141.05,0.80691,2208.2,3.3773,12.998,0.28635,0.13392,0.99213,77.412,77.289
749.52,0.91792,96.13,0.99803,3016.4,1.5687,1.241,0.42582,0.13636,0.99646,77.24,77.231
439.13,0.96661,100.7,0.83204,1435.1,3.7665,13.118,0.39423,0.12305,0.99283,59.092,59.123
491.54,0.87276,319.61,0.9765,2685,1.2847,29.981,0.36209,0.28632,0.98973,433.97,433.5
669.4,0.94196,258.22,0.82252,1211.8,2.6571,18.309,0.53778,0.065238,0.99329,255.52,255.79
362.39,0.86766,239.47,0.82913,3668.2,2.8875,17.781,0.31635,0.12244,0.98729,178.99,178.95
594.08,0.80932,35.956,0.85005,2861,2.5244,26.583,0.41644,0.29026,0.99494,55.794,55.732
163.96,0.95271,10.172,0.9956,2907.2,2.5592,16.759,0.11888,0.12108,0.98842,18.417,18.427
254.58,0.9477,105.22,0.84226,2976.2,2.6927,24.486,0.41919,0.10926,0.98747,76.363,76.385
451.9,0.98821,123.63,0.90155,3330.7,1.9005,23.843,0.44484,0.1813,0.99362,124.48,124.44
208.59,0.84392,85.949,0.86432,1919.8,3.64,30.19,0.50716,0.1849,0.984,75.299,75.307
141.68,0.8671,329.16,0.98324,1310.6,1.9534,34.788,0.39827,0.26491,0.96652,244.14,244.35
788.47,0.88062,347.19,0.83968,2018.2,1.3669,16.207,0.10889,0.22147,0.99337,156.9,156.78
533.26,0.92159,84.512,0.85885,1191.7,2.4943,29.063,0.27362,0.099375,0.99423,54.696,54.744
667.37,0.82934,263.17,0.88925,1542.8,3.7645,37.39,0.23042,0.17295,0.99304,178.18,178.45
653.81,0.87839,55.417,0.86047,1990.9,3.0477,21.176,0.30603,0.29226,0.99548,51.476,51.545
475.98,0.84292,96.919,0.86127,2296.6,2.7083,14.601,0.52969,0.16289,0.99291,87.36,87.279
196.37,0.90125,26.158,0.99664,2506.4,1.1522,32.853,0.34828,0.24078,0.98851,42.63,42.605
608.08,0.88627,180.51,0.94177,2712.8,3.1587,8.0701,0.44478,0.15527,0.99431,212.04,212.16
